user_id,sign_up_date,plan_type,ab_test_group
1,2024-02-10,Paid,A
2,2024-01-18,Free,A
3,2024-02-17,Free,A
4,2024-02-27,Free,A
5,2024-01-03,Free,A
6,2024-01-15,Free,A
7,2024-02-15,Free,B
8,2024-02-07,Free,B
9,2024-01-01,Free,A
10,2024-01-22,Free,B
11,2024-02-18,Free,B
12,2024-01-25,Free,A
13,2024-01-23,Free,B
14,2024-02-16,Free,B
15,2024-02-29,Free,B
16,2024-01-19,Free,B
17,2024-02-15,Paid,A
18,2024-01-15,Free,B
19,2024-02-24,Free,A
20,2024-01-25,Free,B
21,2024-02-23,Free,B
22,2024-01-23,Free,A
23,2024-02-14,Free,A
24,2024-01-11,Free,A
25,2024-01-25,Free,B
26,2024-02-10,Free,A
27,2024-02-23,Free,A
28,2024-01-03,Free,B
29,2024-01-05,Free,A
30,2024-02-06,Free,B
31,2024-02-01,Free,B
32,2024-02-11,Free,B
33,2024-01-09,Free,A
34,2024-02-04,Free,B
35,2024-01-28,Free,B
36,2024-01-09,Free,B
37,2024-01-04,Free,A
38,2024-01-11,Free,B
39,2024-01-25,Free,B
40,2024-01-30,Free,B
41,2024-02-25,Free,A
42,2024-01-08,Free,B
43,2024-01-22,Free,A
44,2024-01-11,Paid,B
45,2024-02-16,Free,B
46,2024-02-18,Free,A
47,2024-01-07,Free,B
48,2024-02-02,Free,A
49,2024-02-18,Free,A
50,2024-02-19,Free,A
51,2024-02-01,Free,A
52,2024-01-24,Free,B
53,2024-01-16,Free,A
54,2024-02-01,Free,A
55,2024-02-04,Free,A
56,2024-01-31,Free,A
57,2024-02-25,Free,B
58,2024-02-29,Free,A
59,2024-01-26,Free,B
60,2024-02-03,Free,B
61,2024-01-15,Free,A
62,2024-02-07,Free,A
63,2024-01-01,Free,A
64,2024-01-04,Free,A
65,2024-01-03,Free,B
66,2024-01-16,Free,B
67,2024-01-14,Free,A
68,2024-02-26,Free,B
69,2024-01-31,Free,B
70,2024-01-07,Free,B
71,2024-01-27,Free,B
72,2024-01-04,Free,A
73,2024-02-16,Free,B
74,2024-01-07,Free,A
75,2024-02-04,Free,B
76,2024-01-12,Free,B
77,2024-02-25,Free,A
78,2024-02-25,Free,A
79,2024-02-04,Free,A
80,2024-02-29,Free,A
81,2024-02-01,Free,B
82,2024-01-26,Free,A
83,2024-01-01,Free,B
84,2024-02-20,Free,B
85,2024-02-14,Free,B
86,2024-01-19,Free,A
87,2024-02-07,Free,A
88,2024-01-04,Free,A
89,2024-02-02,Free,A
90,2024-02-02,Free,A
91,2024-01-05,Free,A
92,2024-01-16,Free,B
93,2024-02-26,Free,A
94,2024-01-03,Free,A
95,2024-02-07,Free,B
96,2024-01-14,Free,B
97,2024-01-26,Free,A
98,2024-01-20,Free,B
99,2024-02-18,Paid,A
100,2024-02-09,Free,A
101,2024-01-14,Free,B
102,2024-01-23,Free,A
103,2024-01-24,Free,B
104,2024-02-23,Free,B
105,2024-02-21,Free,A
106,2024-02-05,Free,B
107,2024-01-07,Free,A
108,2024-02-26,Free,A
109,2024-01-10,Free,B
110,2024-01-14,Free,B
111,2024-02-10,Free,B
112,2024-01-17,Free,A
113,2024-01-28,Paid,B
114,2024-01-22,Free,A
115,2024-01-17,Free,A
116,2024-02-05,Free,B
117,2024-01-08,Free,A
118,2024-02-14,Free,A
119,2024-02-23,Free,B
120,2024-01-10,Free,B
121,2024-01-20,Free,B
122,2024-02-20,Free,A
123,2024-01-14,Free,A
124,2024-01-23,Free,B
125,2024-02-17,Free,A
126,2024-01-16,Free,A
127,2024-02-21,Free,A
128,2024-01-02,Free,A
129,2024-01-22,Free,B
130,2024-02-25,Free,A
131,2024-02-20,Free,A
132,2024-01-03,Free,B
133,2024-02-22,Free,B
134,2024-02-22,Free,A
135,2024-02-12,Free,A
136,2024-01-18,Free,A
137,2024-01-18,Free,B
138,2024-01-26,Free,B
139,2024-01-08,Free,B
140,2024-01-17,Free,A
141,2024-01-28,Free,B
142,2024-01-21,Free,B
143,2024-02-02,Free,A
144,2024-02-06,Free,A
145,2024-02-15,Paid,B
146,2024-02-29,Free,A
147,2024-01-05,Free,B
148,2024-02-12,Free,A
149,2024-01-20,Free,B
150,2024-01-21,Free,B
151,2024-02-05,Free,A
152,2024-02-12,Free,B
153,2024-02-27,Free,A
154,2024-01-20,Free,B
155,2024-01-01,Free,B
156,2024-01-28,Free,B
157,2024-01-29,Free,A
158,2024-02-20,Free,A
159,2024-01-19,Free,B
160,2024-02-18,Free,A
161,2024-01-15,Free,A
162,2024-01-03,Free,A
163,2024-02-09,Free,A
164,2024-02-26,Free,A
165,2024-01-25,Free,B
166,2024-01-10,Free,A
167,2024-02-25,Free,A
168,2024-01-15,Free,A
169,2024-02-14,Free,B
170,2024-01-16,Free,A
171,2024-02-21,Free,B
172,2024-02-05,Free,B
173,2024-02-27,Free,B
174,2024-02-16,Free,B
175,2024-02-05,Free,B
176,2024-02-17,Free,B
177,2024-02-18,Free,A
178,2024-01-18,Free,B
179,2024-01-18,Free,B
180,2024-01-19,Free,A
181,2024-01-21,Free,A
182,2024-01-15,Free,B
183,2024-02-15,Free,A
184,2024-01-27,Free,B
185,2024-01-27,Free,A
186,2024-01-27,Free,B
187,2024-02-07,Free,A
188,2024-02-18,Free,B
189,2024-01-23,Free,B
190,2024-02-24,Free,B
191,2024-02-17,Free,A
192,2024-01-18,Free,B
193,2024-01-25,Free,B
194,2024-02-21,Free,B
195,2024-02-23,Free,B
196,2024-02-09,Free,A
197,2024-02-07,Free,A
198,2024-01-28,Free,A
199,2024-01-12,Free,A
200,2024-01-21,Free,A
201,2024-01-22,Free,B
202,2024-02-23,Free,B
203,2024-01-06,Paid,B
204,2024-02-04,Free,A
205,2024-01-23,Free,A
206,2024-02-19,Free,A
207,2024-01-16,Free,A
208,2024-02-09,Free,A
209,2024-01-31,Free,A
210,2024-01-14,Free,B
211,2024-02-19,Free,B
212,2024-02-08,Free,A
213,2024-01-11,Free,B
214,2024-01-02,Free,B
215,2024-02-28,Free,B
216,2024-02-15,Free,A
217,2024-02-14,Free,A
218,2024-02-19,Free,B
219,2024-02-08,Free,A
220,2024-02-06,Free,A
221,2024-01-28,Free,B
222,2024-02-11,Paid,B
223,2024-01-27,Free,B
224,2024-01-24,Free,B
225,2024-01-28,Free,A
226,2024-02-11,Free,B
227,2024-02-28,Free,B
228,2024-02-22,Free,B
229,2024-01-16,Free,A
230,2024-01-29,Free,A
231,2024-02-06,Free,B
232,2024-02-01,Free,B
233,2024-01-14,Free,B
234,2024-01-22,Free,B
235,2024-02-14,Free,B
236,2024-02-03,Free,A
237,2024-02-16,Free,B
238,2024-02-18,Free,A
239,2024-02-11,Free,B
240,2024-01-02,Free,A
241,2024-01-26,Free,A
242,2024-02-07,Free,B
243,2024-02-03,Free,B
244,2024-02-17,Free,B
245,2024-01-30,Free,B
246,2024-01-15,Free,A
247,2024-01-21,Free,A
248,2024-02-18,Free,A
249,2024-02-17,Free,B
250,2024-02-07,Free,B
251,2024-02-23,Free,A
252,2024-01-24,Free,A
253,2024-02-15,Free,A
254,2024-01-04,Free,B
255,2024-01-09,Free,B
256,2024-01-01,Free,B
257,2024-01-29,Free,B
258,2024-01-04,Free,B
259,2024-01-31,Free,A
260,2024-01-26,Free,B
261,2024-02-10,Free,A
262,2024-02-21,Free,B
263,2024-01-16,Free,A
264,2024-01-27,Free,A
265,2024-01-25,Free,B
266,2024-01-20,Free,B
267,2024-02-09,Free,A
268,2024-02-17,Free,A
269,2024-01-14,Free,A
270,2024-01-06,Free,A
271,2024-02-05,Free,A
272,2024-01-27,Free,B
273,2024-01-31,Paid,B
274,2024-01-19,Free,B
275,2024-01-30,Free,A
276,2024-02-29,Free,B
277,2024-02-10,Free,A
278,2024-02-04,Free,A
279,2024-02-28,Free,B
280,2024-01-05,Free,A
281,2024-01-20,Free,B
282,2024-01-30,Free,B
283,2024-01-18,Free,B
284,2024-02-08,Free,A
285,2024-02-17,Free,B
286,2024-01-02,Free,A
287,2024-02-13,Free,A
288,2024-02-13,Free,B
289,2024-02-18,Free,A
290,2024-02-11,Free,B
291,2024-01-12,Free,B
292,2024-02-01,Free,A
293,2024-01-27,Free,B
294,2024-01-07,Free,A
295,2024-02-14,Free,B
296,2024-01-26,Free,A
297,2024-01-21,Free,B
298,2024-02-19,Free,B
299,2024-02-22,Free,A
300,2024-02-04,Free,B
301,2024-01-13,Free,B
302,2024-02-01,Free,B
303,2024-01-14,Free,B
304,2024-02-29,Free,B
305,2024-02-14,Free,B
306,2024-02-10,Free,A
307,2024-01-20,Free,A
308,2024-01-06,Free,A
309,2024-02-28,Free,A
310,2024-01-08,Free,A
311,2024-02-15,Free,B
312,2024-01-18,Free,B
313,2024-01-31,Free,A
314,2024-01-10,Free,B
315,2024-02-08,Free,A
316,2024-01-18,Free,B
317,2024-02-20,Free,B
318,2024-01-19,Free,B
319,2024-02-07,Free,B
320,2024-01-29,Free,B
321,2024-02-05,Free,B
322,2024-01-21,Free,A
323,2024-01-16,Free,B
324,2024-02-19,Paid,B
325,2024-02-17,Free,B
326,2024-02-21,Free,B
327,2024-02-12,Free,A
328,2024-01-03,Free,A
329,2024-02-07,Free,B
330,2024-02-25,Free,B
331,2024-02-28,Paid,B
332,2024-01-10,Free,B
333,2024-01-10,Free,A
334,2024-01-17,Free,B
335,2024-01-26,Free,A
336,2024-02-24,Free,B
337,2024-02-10,Free,B
338,2024-01-03,Free,A
339,2024-02-13,Free,B
340,2024-02-17,Free,A
341,2024-01-07,Free,A
342,2024-02-14,Free,B
343,2024-01-03,Free,B
344,2024-01-19,Free,B
345,2024-01-10,Free,A
346,2024-02-06,Free,A
347,2024-01-06,Free,B
348,2024-01-16,Free,B
349,2024-01-10,Free,A
350,2024-01-17,Free,B
351,2024-01-01,Free,B
352,2024-02-13,Free,A
353,2024-01-23,Free,B
354,2024-01-28,Free,B
355,2024-01-20,Free,A
356,2024-02-24,Free,B
357,2024-01-25,Free,B
358,2024-02-14,Paid,B
359,2024-02-23,Free,B
360,2024-02-06,Free,A
361,2024-02-17,Free,B
362,2024-02-27,Free,B
363,2024-01-15,Free,B
364,2024-01-13,Free,B
365,2024-02-16,Free,A
366,2024-02-27,Free,A
367,2024-01-29,Free,A
368,2024-02-16,Free,A
369,2024-01-19,Free,B
370,2024-01-12,Free,A
371,2024-02-04,Free,B
372,2024-02-28,Free,B
373,2024-01-17,Free,B
374,2024-01-19,Free,B
375,2024-01-30,Free,A
376,2024-01-15,Free,B
377,2024-02-21,Free,B
378,2024-01-26,Free,A
379,2024-01-08,Free,B
380,2024-02-17,Free,B
381,2024-02-22,Free,B
382,2024-01-15,Paid,B
383,2024-02-26,Free,B
384,2024-01-15,Free,A
385,2024-01-30,Free,B
386,2024-01-08,Paid,A
387,2024-01-03,Free,B
388,2024-01-08,Free,A
389,2024-02-04,Free,A
390,2024-01-24,Free,B
391,2024-02-16,Free,A
392,2024-02-11,Free,A
393,2024-02-09,Free,B
394,2024-01-18,Free,A
395,2024-01-14,Free,B
396,2024-01-16,Free,B
397,2024-02-13,Free,B
398,2024-02-11,Free,B
399,2024-01-18,Free,A
400,2024-02-24,Free,B
401,2024-01-14,Free,A
402,2024-01-22,Free,A
403,2024-02-20,Free,A
404,2024-02-18,Free,A
405,2024-02-22,Free,A
406,2024-01-10,Free,A
407,2024-01-10,Free,A
408,2024-02-21,Free,A
409,2024-02-25,Free,A
410,2024-01-23,Free,A
411,2024-01-02,Free,A
412,2024-01-09,Free,B
413,2024-02-17,Free,A
414,2024-02-19,Free,B
415,2024-01-07,Free,B
416,2024-02-09,Free,A
417,2024-02-28,Free,B
418,2024-01-02,Free,A
419,2024-02-24,Free,B
420,2024-01-07,Free,B
421,2024-01-29,Free,A
422,2024-01-21,Free,A
423,2024-01-18,Free,B
424,2024-02-08,Free,B
425,2024-02-08,Free,B
426,2024-02-14,Free,A
427,2024-02-11,Free,A
428,2024-02-26,Free,A
429,2024-02-22,Free,B
430,2024-02-16,Free,A
431,2024-01-21,Free,B
432,2024-01-10,Free,B
433,2024-02-23,Free,A
434,2024-01-07,Free,B
435,2024-02-05,Free,A
436,2024-02-05,Free,B
437,2024-01-27,Free,B
438,2024-02-18,Free,B
439,2024-02-16,Free,A
440,2024-02-08,Free,B
441,2024-02-06,Free,A
442,2024-01-31,Free,A
443,2024-01-23,Free,B
444,2024-01-18,Free,A
445,2024-02-24,Free,A
446,2024-02-12,Paid,B
447,2024-01-18,Free,B
448,2024-01-23,Free,A
449,2024-01-10,Free,B
450,2024-02-17,Free,A
451,2024-02-03,Free,A
452,2024-01-30,Free,B
453,2024-01-20,Free,B
454,2024-02-06,Free,A
455,2024-01-10,Free,A
456,2024-01-04,Free,A
457,2024-02-12,Free,B
458,2024-01-29,Free,B
459,2024-02-18,Free,A
460,2024-01-08,Free,B
461,2024-02-07,Free,B
462,2024-01-20,Free,A
463,2024-02-08,Paid,A
464,2024-01-20,Free,A
465,2024-02-18,Free,B
466,2024-01-08,Free,A
467,2024-01-28,Free,A
468,2024-02-04,Free,A
469,2024-02-23,Free,B
470,2024-02-25,Free,A
471,2024-01-30,Free,A
472,2024-02-06,Free,B
473,2024-02-15,Free,B
474,2024-01-26,Free,A
475,2024-01-11,Free,B
476,2024-02-28,Free,B
477,2024-02-24,Free,A
478,2024-02-07,Free,B
479,2024-01-26,Free,B
480,2024-01-15,Free,B
481,2024-01-05,Free,A
482,2024-01-13,Free,B
483,2024-02-22,Free,A
484,2024-01-10,Free,B
485,2024-02-08,Free,A
486,2024-02-11,Free,A
487,2024-02-19,Free,B
488,2024-02-06,Free,B
489,2024-02-26,Free,B
490,2024-02-10,Free,B
491,2024-01-05,Free,B
492,2024-01-20,Free,B
493,2024-01-23,Free,A
494,2024-01-29,Free,A
495,2024-02-23,Free,B
496,2024-02-25,Free,A
497,2024-02-02,Free,B
498,2024-02-05,Free,A
499,2024-02-21,Free,A
500,2024-01-31,Free,A
501,2024-01-29,Free,A
502,2024-02-23,Free,B
503,2024-01-06,Paid,A
504,2024-02-15,Free,B
505,2024-02-03,Free,A
506,2024-02-28,Free,B
507,2024-02-19,Free,B
508,2024-01-04,Free,B
509,2024-01-07,Free,B
510,2024-02-16,Free,A
511,2024-02-07,Free,A
512,2024-01-20,Free,B
513,2024-02-15,Free,A
514,2024-01-25,Free,B
515,2024-02-12,Free,A
516,2024-01-28,Paid,B
517,2024-01-20,Free,A
518,2024-01-22,Free,B
519,2024-01-09,Free,A
520,2024-02-24,Free,A
521,2024-02-04,Free,A
522,2024-02-26,Free,A
523,2024-01-10,Free,A
524,2024-02-14,Free,A
525,2024-01-03,Free,B
526,2024-02-16,Free,A
527,2024-02-09,Free,B
528,2024-02-20,Free,B
529,2024-01-16,Free,B
530,2024-02-20,Free,B
531,2024-01-13,Free,B
532,2024-02-06,Free,B
533,2024-01-19,Free,B
534,2024-01-27,Free,A
535,2024-02-21,Free,A
536,2024-01-04,Free,B
537,2024-02-05,Free,A
538,2024-02-03,Free,A
539,2024-02-18,Free,A
540,2024-02-27,Free,A
541,2024-01-06,Free,A
542,2024-02-26,Free,B
543,2024-01-27,Free,A
544,2024-01-24,Free,A
545,2024-01-06,Free,B
546,2024-01-21,Free,A
547,2024-02-11,Free,B
548,2024-01-09,Free,A
549,2024-02-23,Free,B
550,2024-01-09,Free,B
551,2024-01-01,Paid,A
552,2024-01-14,Free,A
553,2024-02-16,Free,B
554,2024-01-19,Free,A
555,2024-01-04,Free,A
556,2024-02-20,Free,B
557,2024-02-23,Free,B
558,2024-01-02,Free,A
559,2024-01-19,Paid,B
560,2024-01-23,Free,A
561,2024-01-12,Free,A
562,2024-01-24,Free,A
563,2024-02-04,Free,A
564,2024-01-31,Free,A
565,2024-01-24,Free,B
566,2024-01-23,Free,A
567,2024-02-16,Free,A
568,2024-02-17,Free,B
569,2024-01-23,Free,B
570,2024-01-12,Free,B
571,2024-01-31,Free,A
572,2024-01-05,Paid,B
573,2024-01-13,Free,A
574,2024-02-26,Free,A
575,2024-01-20,Free,B
576,2024-02-04,Free,B
577,2024-02-18,Free,A
578,2024-02-25,Free,A
579,2024-01-22,Free,B
580,2024-01-24,Free,B
581,2024-02-17,Free,B
582,2024-01-25,Free,B
583,2024-02-01,Free,B
584,2024-02-21,Free,B
585,2024-02-16,Free,B
586,2024-02-08,Free,A
587,2024-01-21,Free,A
588,2024-02-12,Free,B
589,2024-02-08,Free,B
590,2024-01-29,Free,B
591,2024-02-16,Free,B
592,2024-01-28,Free,B
593,2024-02-20,Free,A
594,2024-02-10,Free,B
595,2024-02-21,Free,A
596,2024-01-10,Paid,B
597,2024-01-05,Free,A
598,2024-01-24,Free,B
599,2024-02-06,Free,A
600,2024-02-13,Free,B
601,2024-01-24,Free,B
602,2024-02-06,Free,A
603,2024-01-26,Free,B
604,2024-01-16,Paid,A
605,2024-01-12,Free,B
606,2024-02-28,Free,A
607,2024-01-17,Free,B
608,2024-02-09,Free,B
609,2024-02-01,Free,A
610,2024-02-24,Free,A
611,2024-02-27,Free,B
612,2024-02-21,Free,B
613,2024-02-15,Free,A
614,2024-01-19,Free,B
615,2024-02-15,Free,A
616,2024-02-02,Free,A
617,2024-01-13,Free,A
618,2024-02-01,Free,A
619,2024-02-06,Free,B
620,2024-02-05,Free,A
621,2024-01-06,Free,A
622,2024-02-15,Free,B
623,2024-02-19,Free,B
624,2024-01-05,Free,A
625,2024-02-11,Free,A
626,2024-02-13,Free,B
627,2024-02-23,Free,A
628,2024-01-09,Free,B
629,2024-02-25,Free,A
630,2024-02-03,Free,A
631,2024-01-11,Free,B
632,2024-01-15,Free,B
633,2024-02-03,Free,B
634,2024-01-17,Free,A
635,2024-02-05,Free,B
636,2024-01-20,Free,A
637,2024-01-11,Free,A
638,2024-02-09,Free,B
639,2024-02-06,Free,A
640,2024-01-02,Paid,A
641,2024-02-11,Free,B
642,2024-02-19,Free,B
643,2024-01-02,Free,B
644,2024-02-04,Free,B
645,2024-01-20,Free,B
646,2024-02-21,Free,B
647,2024-01-05,Free,A
648,2024-01-27,Free,B
649,2024-01-22,Free,A
650,2024-02-15,Free,B
651,2024-02-25,Free,B
652,2024-01-09,Free,B
653,2024-01-07,Free,B
654,2024-01-08,Free,B
655,2024-01-10,Free,A
656,2024-01-25,Free,B
657,2024-02-25,Free,A
658,2024-02-29,Free,B
659,2024-01-11,Free,B
660,2024-01-30,Free,B
661,2024-02-01,Free,A
662,2024-01-26,Free,B
663,2024-01-14,Paid,B
664,2024-01-19,Free,B
665,2024-02-23,Free,B
666,2024-01-01,Free,A
667,2024-02-26,Free,B
668,2024-02-18,Free,B
669,2024-01-26,Free,A
670,2024-01-13,Free,B
671,2024-01-05,Free,B
672,2024-02-18,Free,B
673,2024-02-09,Free,A
674,2024-01-07,Free,B
675,2024-01-22,Free,B
676,2024-01-13,Free,B
677,2024-01-03,Free,A
678,2024-01-22,Free,B
679,2024-01-10,Free,A
680,2024-02-09,Free,B
681,2024-02-09,Free,B
682,2024-02-02,Free,B
683,2024-01-20,Free,B
684,2024-01-24,Free,B
685,2024-01-27,Free,B
686,2024-02-16,Free,A
687,2024-01-17,Free,A
688,2024-02-07,Free,B
689,2024-02-10,Free,B
690,2024-02-13,Paid,A
691,2024-02-14,Free,A
692,2024-01-29,Free,B
693,2024-01-27,Free,A
694,2024-02-19,Free,B
695,2024-02-17,Free,A
696,2024-02-03,Free,A
697,2024-02-12,Free,B
698,2024-01-21,Free,A
699,2024-02-04,Free,B
700,2024-02-13,Free,B
701,2024-01-13,Free,A
702,2024-01-20,Free,A
703,2024-01-20,Free,B
704,2024-02-14,Free,B
705,2024-01-23,Free,B
706,2024-02-06,Free,B
707,2024-01-26,Free,B
708,2024-02-21,Free,A
709,2024-01-19,Free,A
710,2024-01-29,Free,B
711,2024-01-14,Free,A
712,2024-01-18,Free,B
713,2024-02-09,Free,A
714,2024-02-12,Free,A
715,2024-01-04,Free,A
716,2024-02-15,Free,B
717,2024-02-19,Paid,A
718,2024-02-05,Free,A
719,2024-02-29,Free,B
720,2024-01-13,Free,B
721,2024-02-11,Free,A
722,2024-01-06,Free,A
723,2024-02-16,Free,A
724,2024-01-12,Free,B
725,2024-01-12,Free,A
726,2024-01-26,Free,B
727,2024-02-17,Free,B
